prototype_canonical_material_code,canonical_category,canonical_material,canonical_size,canonical_unit,canonical_grade,source_material_count,source_cpse_count,source_cpses,source_material_codes,source_descriptions,ai_recommendation,human_review_status
PCM-VALV-011,Valve,Carbon Steel,80 NB,NOS,Class 150,2,2,"BHEL, SAIL",BHEL:BHL1011 | SAIL:STL4002,Gate Valve 80 NB Class 150 | CS GATE VALVE 80NB CLASS150,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-VALV-012,Valve,Carbon Steel,25 NB,NOS,Class 150,2,2,"BHEL, SAIL",BHEL:BHL1012 | SAIL:STL4003,Globe Valve 25 NB Class 150 | Carbon Steel Globe Valve 25NB Class150,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-VALV-013,Valve,Ductile Iron,100 NB,NOS,PN16,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1013 | NTPC:NTP7704 | SAIL:STL4004 | ONGC:ONG3304,Butterfly Valve 100 NB PN16 | 100 NB Butterfly Valve PN 16 | DI Butterfly Valve 100NB PN16 | Butterfly Valve Size 100 NB Pressure PN16,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-GASK-014,Gasket,EPDM Rubber,50 NB,NOS,EPDM,2,2,"BHEL, SAIL",BHEL:BHL1014 | SAIL:STL5001,EPDM Rubber Gasket 50 NB | EPDM GASKET 50NB,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-GASK-015,Gasket,Graphite SS,100 NB,NOS,SS316/Graphite,1,1,BHEL,BHEL:BHL1015,Spiral Wound Gasket 100 NB,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-CABL-016,Cable,Copper,2.5 mm2,MTR,FR,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1016 | NTPC:NTP9901 | SAIL:STL6001 | ONGC:ONG5501,Copper Cable 2.5 Sqmm | 2.5 sq mm Copper Electrical Cable | Copper Wire Cable 2.5mm2 | 2.5 Square MM Copper Cable,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-CABL-017,Cable,Aluminium,16 sqmm,MTR,XLPE,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1017 | NTPC:NTP9902 | SAIL:STL6002 | ONGC:ONG5502,Aluminium Cable 16 Sqmm | 16 Sq MM Aluminium Power Cable | Aluminium Cable 16mm2 XLPE | 16 Square MM Aluminium XLPE Cable,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-CABL-018,Cable,Copper,4 sqmm,MTR,FRLS,4,4,"BHEL, NTPC, ONGC, SAIL",BHEL:BHL1018 | NTPC:NTP9903 | SAIL:STL6003 | ONGC:ONG5503,FRLS Copper Cable 4 Sqmm | 4 Sq MM Copper FRLS Cable | Copper Cable 4mm2 Flame Retardant Low Smoke | FRLS Cu Cable 4 Square MM,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-PIPE-019,Pipe,Mild Steel,50 NB,MTR,Sch 40,1,1,BHEL,BHEL:BHL1019,MS Seamless Pipe 50 NB Sch40,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PIPE-020,Pipe,Stainless Steel,25 NB,MTR,Sch 10,1,1,BHEL,BHEL:BHL1020,SS Seamless Pipe 25 NB Sch10,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PIPE-021,Pipe,Galvanized Iron,40 NB,MTR,Medium,2,2,"BHEL, SAIL",BHEL:BHL1021 | SAIL:STL7003,GI Pipe 40 NB Medium Class | GI PIPE DN40 MEDIUM,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-MOTR-022,Motor,Three Phase,5 HP,NOS,IE2,1,1,BHEL,BHEL:BHL1022,Induction Motor 5 HP 415V,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-MOTR-023,Motor,Three Phase,10 HP,NOS,IE3,1,1,BHEL,BHEL:BHL1023,Induction Motor 10 HP 415V,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PUMP-024,Pump,Cast Iron,20 m3/hr,NOS,CI,3,3,"BHEL, NTPC, ONGC",BHEL:BHL1024 | NTPC:NTP3301 | ONGC:ONG8801,Centrifugal Pump 20 m3/hr | 20 Cubic Meter Per Hour Centrifugal Pump | CI Centrifugal Pump 20 Cubic Meter Hour,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-PUMP-025,Pump,Cast Iron,40 m3/hr,NOS,CI,3,3,"BHEL, ONGC, SAIL",BHEL:BHL1025 | SAIL:STL9002 | ONGC:ONG8802,Centrifugal Pump 40 m3/hr | Centrifugal Pump Capacity 40 M3/Hr | CI Centrifugal Pump 40 m3 per hour,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-LUBE-026,Lubricant,Lithium Base,EP2,KG,NLGI 2,1,1,BHEL,BHEL:BHL1026,Lithium Grease EP2,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-027,Lubricant,Mineral Oil,220,LTR,ISO VG 220,1,1,BHEL,BHEL:BHL1027,Industrial Gear Oil 220,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-WELD-028,Welding,Carbon Steel,3.15 mm,KG,E6013,2,2,"BHEL, SAIL",BHEL:BHL1028 | SAIL:STL11001,Carbon Steel Welding Electrode 3.15mm | CS Welding Rod E6013 3.15mm,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-WELD-029,Welding,Stainless Steel,3.15 mm,KG,E308L-16,1,1,BHEL,BHEL:BHL1029,Stainless Steel Welding Electrode 3.15mm,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PPE-030,PPE,ABS Plastic,Standard,NOS,IS 2925,2,2,"BHEL, SAIL",BHEL:BHL1030 | SAIL:STL12001,Safety Helmet ISI Approved | ISI Safety Helmet Industrial Type,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-PIPE-031,Pipe,CS,50 NB,Meter,Schedule 40,1,1,NTPC,NTPC:NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PIPE-032,Pipe,SS,25 NB,Meter,Schedule 10,2,2,"NTPC, SAIL",NTPC:NTP1102 | SAIL:STL7002,Stainless Steel Seamless Pipe 25 NB Schedule 10 | SS SEAMLESS PIPE DN25 SCH10,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-PIPE-033,Pipe,GI,40 NB,Meter,Medium,2,2,"NTPC, ONGC",NTPC:NTP1103 | ONGC:ONG6603,40 NB Galvanized Iron Pipe Medium Grade | Galvanised Pipe 40 NB Medium Class,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-MOTR-034,Motor,3 Phase,5 HP,Nos,IE2,2,2,"NTPC, ONGC",NTPC:NTP2201 | ONGC:ONG7701,5 HP Three Phase Induction Motor 415 Volt | Three Phase Motor 5 HP 415 V,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-MOTR-035,Motor,3 Phase,10 HP,Nos,IE3,2,2,"NTPC, ONGC",NTPC:NTP2202 | ONGC:ONG7702,10 HP Three Phase Motor 415 Volt | Three Phase Induction Motor 10 HP,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-PUMP-036,Pump,CI,40 m3/hr,Nos,Cast Iron,1,1,NTPC,NTPC:NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-037,Lubricant,Lithium,EP2,Kg,NLGI-2,1,1,NTPC,NTPC:NTP4401,EP2 Lithium Base Grease,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-038,Lubricant,Mineral Oil,220,Litre,ISO VG220,1,1,NTPC,NTPC:NTP4402,Gear Lubricating Oil ISO VG 220,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-WELD-039,Welding,CS,3.15mm,Kg,E6013,2,2,"NTPC, ONGC",NTPC:NTP5501 | ONGC:ONG10001,E6013 Welding Electrode 3.15 MM | Welding Electrode E6013 Dia 3.15 MM,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-WELD-040,Welding,SS,3.15mm,Kg,E308L-16,1,1,NTPC,NTPC:NTP5502,E308L Stainless Steel Welding Rod 3.15 MM,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-FAST-041,Fastener,SS,10 x 50,Nos,304,2,2,"NTPC, ONGC",NTPC:NTP5521 | ONGC:ONG1101,Stainless Steel Hex Bolt 10mm x 50mm | Stainless Steel Bolt M10 by 50,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-FAST-042,Fastener,MS,10 mm,Nos,MS,1,1,NTPC,NTPC:NTP5522,Mild Steel Hexagonal Nut 10 mm,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-FAST-043,Fastener,SS,10 mm,Nos,304,1,1,NTPC,NTPC:NTP5523,Stainless Steel Plain Washer 10mm,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-FAST-044,Fastener,SS,10 x 60,Nos,304,2,2,"NTPC, ONGC",NTPC:NTP5524 | ONGC:ONG1104,Stainless Steel Hex Bolt 10mm x 60mm | Stainless Steel Bolt M10 by 60,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-FAST-045,Fastener,GI,12 x 75,Nos,GI,2,2,"NTPC, ONGC",NTPC:NTP5525 | ONGC:ONG1105,Galvanized Hexagonal Bolt 12mm x 75mm | Galvanised Steel Bolt M12 75mm,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-PPE-046,PPE,ABS,Standard,Nos,IS2925,1,1,NTPC,NTPC:NTP6605,Industrial Safety Helmet ISI Marked,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-VALV-047,Valve,CS,50 NB,Nos,150,1,1,NTPC,NTPC:NTP7701,50 NB Gate Valve Class 150,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-VALV-048,Valve,CS,80 NB,Nos,150,2,2,"NTPC, ONGC",NTPC:NTP7702 | ONGC:ONG3302,80 NB Gate Valve CL 150 | Carbon Steel Gate Valve 80 NB,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-VALV-049,Valve,CS,25 NB,Nos,150,1,1,NTPC,NTPC:NTP7703,25 NB Globe Valve CL 150,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-GASK-050,Gasket,EPDM,50 NB,Nos,EPDM,2,2,"NTPC, ONGC",NTPC:NTP8801 | ONGC:ONG4401,50 NB EPDM Gasket | EPDM Rubber Gasket Size 50 NB,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-GASK-051,Gasket,Graphite SS,100 NB,Nos,316/Graphite,2,2,"NTPC, ONGC",NTPC:NTP8802 | ONGC:ONG4402,100 NB Spiral Wound Graphite Gasket | Spiral Wound Gasket 100 NB Graphite,AI recommends harmonizing these materials into one canonical group.,PENDING_HUMAN_APPROVAL
PCM-WELD-052,Welding,SS,3.15mm,Kg,E308L,1,1,ONGC,ONGC:ONG10002,Stainless Welding Electrode Dia 3.15 MM,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PPE-053,PPE,ABS,Standard,EA,ISI,1,1,ONGC,ONGC:ONG11001,Industrial Protective Safety Helmet,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-FAST-054,Fastener,MS,M10,EA,MS,1,1,ONGC,ONGC:ONG1102,Mild Steel Nut Size M10,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-VALV-055,Valve,CS,50 NB,EA,Class150,1,1,ONGC,ONGC:ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-VALV-056,Valve,CS,25 NB,EA,Class150,1,1,ONGC,ONGC:ONG3303,CS Globe Valve 25 NB 150 Class,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PIPE-057,Pipe,CS,50 NB,M,40,1,1,ONGC,ONGC:ONG6601,Carbon Steel Seamless Pipe 50 NB Schedule 40,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PIPE-058,Pipe,Stainless Steel,25 NB,M,10,1,1,ONGC,ONGC:ONG6602,Stainless Steel Pipe 25 NB Schedule 10,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-059,Lubricant,Lithium,EP2,Kg,NLGI 2,1,1,ONGC,ONGC:ONG9901,EP-2 Lithium Grease,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-060,Lubricant,Mineral,220,L,VG220,1,1,ONGC,ONGC:ONG9902,Gear Oil VG 220 Industrial,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-061,Lubricant,Lithium Base,EP2,KG,NLGI2,1,1,SAIL,SAIL:STL10001,Lithium Grease NLGI 2 EP2,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-LUBE-062,Lubricant,Mineral Oil,VG220,LT,ISO VG 220,1,1,SAIL,SAIL:STL10002,Industrial Gear Oil Grade 220,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-WELD-063,Welding,Stainless Steel,3.15 mm,KG,E308L,1,1,SAIL,SAIL:STL11002,SS Welding Electrode E308L 3.15mm,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-FAST-064,Fastener,Stainless Steel,M10-50,Number,SS 304,1,1,SAIL,SAIL:STL2045,SS HEX BOLT M10-50,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-GASK-065,Gasket,SS Graphite,DN100,Number,SS316,1,1,SAIL,SAIL:STL5002,Spiral Wound Gasket DN100,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PIPE-066,Pipe,Carbon Steel,DN50,Metre,Sch40,1,1,SAIL,SAIL:STL7001,CS SEAMLESS PIPE DN50 SCH40,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-MOTR-067,Motor,Three Phase,5HP,Number,IE2,1,1,SAIL,SAIL:STL8001,3 PH INDUCTION MOTOR 5HP 415V,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-MOTR-068,Motor,Three Phase,10HP,Number,IE3,1,1,SAIL,SAIL:STL8002,3 PH MOTOR 10HP 415V IE3,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
PCM-PUMP-069,Pump,CI,20 M3/Hr,Number,Cast Iron,1,1,SAIL,SAIL:STL9001,Centrifugal Pump Capacity 20 M3/Hr,No high-confidence cross-CPSE match found. Material remains as an individual group.,PENDING_HUMAN_REVIEW
