cpse_1,material_code_1,description_1,cpse_2,material_code_2,description_2,category,semantic_score,attribute_score,lexical_score,conflict_count,combined_score,confidence,explanation,same_benchmark_group,pair_id
NTPC,NTP4402,Gear Lubricating Oil ISO VG 220,BHEL,BHL1027,Industrial Gear Oil 220,Lubricant,0.7226,0.5,0.4444,1,0.503,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: litre vs ltr,True,BHEL:BHL1027 | NTPC:NTP4402
BHEL,BHL1014,EPDM Rubber Gasket 50 NB,SAIL,STL5001,EPDM GASKET 50NB,Gasket,0.8286,0.5,0.8,2,0.5093,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 50 nb vs 50nb; Different unit: nos vs number,True,BHEL:BHL1014 | SAIL:STL5001
ONGC,ONG3304,Butterfly Valve Size 100 NB Pressure PN16,SAIL,STL4004,DI Butterfly Valve 100NB PN16,Valve,0.7919,0.6,0.7429,2,0.5174,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 100 nb vs 100nb; Different unit: ea vs number,True,ONGC:ONG3304 | SAIL:STL4004
SAIL,STL2049,GI HEX BOLT M12-75,NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,Fastener,0.5967,0.6667,0.5818,1,0.519,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs nos,True,NTPC:NTP5525 | SAIL:STL2049
NTPC,NTP5522,Mild Steel Hexagonal Nut 10 mm,SAIL,STL2046,MS HEX NUT M10,Fastener,0.6017,0.6667,0.5909,1,0.5228,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs number,True,NTPC:NTP5522 | SAIL:STL2046
NTPC,NTP8801,50 NB EPDM Gasket,SAIL,STL5001,EPDM GASKET 50NB,Gasket,0.8979,0.5,0.6667,2,0.5239,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different size: 50 nb vs 50nb; Different unit: nos vs number,True,NTPC:NTP8801 | SAIL:STL5001
NTPC,NTP7703,25 NB Globe Valve CL 150,ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,Valve,0.8439,0.6,0.6296,2,0.5264,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different grade/specification: cl150 vs class150; Different unit: nos vs ea,True,NTPC:NTP7703 | ONGC:ONG3303
ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,0.8161,0.6,0.7353,2,0.5284,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 25 nb vs 25nb; Different unit: ea vs number,True,ONGC:ONG3303 | SAIL:STL4003
ONGC,ONG6603,Galvanised Pipe 40 NB Medium Class,SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,0.606,0.6667,0.6415,1,0.5326,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: m vs metre,True,ONGC:ONG6603 | SAIL:STL7003
SAIL,STL2047,SS WASHER M10 FLAT,NTPC,NTP5523,Stainless Steel Plain Washer 10mm,Fastener,0.6067,0.75,0.4706,1,0.5364,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: number vs nos,True,NTPC:NTP5523 | SAIL:STL2047
BHEL,BHL1012,Globe Valve 25 NB Class 150,SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,0.8229,0.6,0.7692,2,0.5369,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 25 nb vs 25nb; Different unit: nos vs number,True,BHEL:BHL1012 | SAIL:STL4003
SAIL,STL10002,Industrial Gear Oil Grade 220,ONGC,ONG9902,Gear Oil VG 220 Industrial,Lubricant,0.8173,0.5,0.3636,1,0.5382,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: lt vs l,True,ONGC:ONG9902 | SAIL:STL10002
BHEL,BHL1019,MS Seamless Pipe 50 NB Sch40,SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,Pipe,0.889,0.5,0.8727,2,0.5504,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different material: mild steel vs carbon steel; Different unit: mtr vs metre,True,BHEL:BHL1019 | SAIL:STL7001
SAIL,STL2049,GI HEX BOLT M12-75,ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,0.6493,0.6667,0.625,1,0.5517,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs ea,True,ONGC:ONG1105 | SAIL:STL2049
ONGC,ONG1102,Mild Steel Nut Size M10,SAIL,STL2046,MS HEX NUT M10,Fastener,0.6656,0.6667,0.5946,1,0.5553,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs number,True,ONGC:ONG1102 | SAIL:STL2046
BHEL,BHL1002,MS Hex Nut M10,ONGC,ONG1102,Mild Steel Nut Size M10,Fastener,0.6656,0.6667,0.5946,1,0.5553,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs ea,True,BHEL:BHL1002 | ONGC:ONG1102
SAIL,STL4004,DI Butterfly Valve 100NB PN16,NTPC,NTP7704,100 NB Butterfly Valve PN 16,Valve,0.8803,0.6,0.7368,2,0.5607,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 100nb vs 100 nb; Different unit: number vs nos,True,NTPC:NTP7704 | SAIL:STL4004
BHEL,BHL1021,GI Pipe 40 NB Medium Class,NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,Pipe,0.6526,0.75,0.4923,1,0.5626,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: mtr vs meter,True,BHEL:BHL1021 | NTPC:NTP1103
ONGC,ONG11001,Industrial Protective Safety Helmet,SAIL,STL12001,ISI Safety Helmet Industrial Type,PPE,0.827,0.5,0.5,1,0.5635,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs number,True,ONGC:ONG11001 | SAIL:STL12001
ONGC,ONG9902,Gear Oil VG 220 Industrial,NTPC,NTP4402,Gear Lubricating Oil ISO VG 220,Lubricant,0.8204,0.5,0.5263,1,0.5641,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: l vs litre,True,NTPC:NTP4402 | ONGC:ONG9902
ONGC,ONG11001,Industrial Protective Safety Helmet,NTPC,NTP6605,Industrial Safety Helmet ISI Marked,PPE,0.781,0.5,0.6857,1,0.5684,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs nos,True,NTPC:NTP6605 | ONGC:ONG11001
BHEL,BHL1005,GI Hex Bolt M12 X 75,ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,0.6204,0.75,0.64,1,0.5687,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs ea,True,BHEL:BHL1005 | ONGC:ONG1105
SAIL,STL4002,CS GATE VALVE 80NB CLASS150,BHEL,BHL1011,Gate Valve 80 NB Class 150,Valve,0.8549,0.6,0.9057,2,0.5733,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 80nb vs 80 nb; Different unit: number vs nos,True,BHEL:BHL1011 | SAIL:STL4002
ONGC,ONG9902,Gear Oil VG 220 Industrial,BHEL,BHL1027,Industrial Gear Oil 220,Lubricant,0.8858,0.5,0.4082,1,0.5791,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: l vs ltr,True,BHEL:BHL1027 | ONGC:ONG9902
ONGC,ONG7702,Three Phase Induction Motor 10 HP,SAIL,STL8002,3 PH MOTOR 10HP 415V IE3,Motor,0.6889,0.75,0.4912,1,0.5807,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; Different unit: ea vs number,True,ONGC:ONG7702 | SAIL:STL8002
ONGC,ONG1102,Mild Steel Nut Size M10,NTPC,NTP5522,Mild Steel Hexagonal Nut 10 mm,Fastener,0.7173,0.6667,0.6415,1,0.5882,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs nos,True,NTPC:NTP5522 | ONGC:ONG1102
SAIL,STL6002,Aluminium Cable 16mm2 XLPE,NTPC,NTP9902,16 Sq MM Aluminium Power Cable,Cable,0.7644,0.6667,0.5357,1,0.5959,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: metre vs meter,True,NTPC:NTP9902 | SAIL:STL6002
SAIL,STL2045,SS HEX BOLT M10-50,NTPC,NTP5521,Stainless Steel Hex Bolt 10mm x 50mm,Fastener,0.7004,0.75,0.5926,1,0.6016,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs nos,True,NTPC:NTP5521 | SAIL:STL2045
BHEL,BHL1013,Butterfly Valve 100 NB PN16,SAIL,STL4004,DI Butterfly Valve 100NB PN16,Valve,0.9065,0.6,0.9286,2,0.6025,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different size: 100 nb vs 100nb; Different unit: nos vs number,True,BHEL:BHL1013 | SAIL:STL4004
BHEL,BHL1023,Induction Motor 10 HP 415V,SAIL,STL8002,3 PH MOTOR 10HP 415V IE3,Motor,0.6979,0.75,0.64,1,0.6074,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs number,True,BHEL:BHL1023 | SAIL:STL8002
NTPC,NTP5523,Stainless Steel Plain Washer 10mm,ONGC,ONG1103,SS Plain Washer M10,Fastener,0.6834,0.75,0.6923,1,0.6081,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs ea,True,NTPC:NTP5523 | ONGC:ONG1103
SAIL,STL2048,SS HEX BOLT M10-60,NTPC,NTP5524,Stainless Steel Hex Bolt 10mm x 60mm,Fastener,0.7158,0.75,0.5926,1,0.6093,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs nos,True,NTPC:NTP5524 | SAIL:STL2048
SAIL,STL5002,Spiral Wound Gasket DN100,NTPC,NTP8802,100 NB Spiral Wound Graphite Gasket,Gasket,0.7039,0.75,0.6333,1,0.6095,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs nos,True,NTPC:NTP8802 | SAIL:STL5002
ONGC,ONG2204,Deep Groove Bearing No 6305,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.8417,0.6667,0.3929,1,0.6131,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: ea vs number,True,ONGC:ONG2204 | SAIL:STL3004
BHEL,BHL1023,Induction Motor 10 HP 415V,ONGC,ONG7702,Three Phase Induction Motor 10 HP,Motor,0.6931,0.75,0.7119,1,0.6158,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; high textual similarity; Different unit: nos vs ea,True,BHEL:BHL1023 | ONGC:ONG7702
ONGC,ONG4402,Spiral Wound Gasket 100 NB Graphite,SAIL,STL5002,Spiral Wound Gasket DN100,Gasket,0.683,0.75,0.7667,1,0.619,LOW CONFIDENCE,Insufficient evidence for automatic matching — moderate semantic similarity; partially matching attributes; high textual similarity; Different unit: ea vs number,True,ONGC:ONG4402 | SAIL:STL5002
SAIL,STL3001,Deep Groove Bearing No 6205,ONGC,ONG2201,Ball Bearing 6205 Deep Groove,Bearing,0.8557,0.6667,0.3929,1,0.6201,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: number vs ea,True,ONGC:ONG2201 | SAIL:STL3001
NTPC,NTP6601,6205 Ball Bearing Deep Groove,SAIL,STL3001,Deep Groove Bearing No 6205,Bearing,0.8621,0.6667,0.3929,1,0.6233,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: nos vs number,True,NTPC:NTP6601 | SAIL:STL3001
SAIL,STL2045,SS HEX BOLT M10-50,ONGC,ONG1101,Stainless Steel Bolt M10 by 50,Fastener,0.7344,0.75,0.6383,1,0.6255,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs ea,True,ONGC:ONG1101 | SAIL:STL2045
NTPC,NTP6605,Industrial Safety Helmet ISI Marked,SAIL,STL12001,ISI Safety Helmet Industrial Type,PPE,0.8996,0.5,0.6765,1,0.6263,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs number,True,NTPC:NTP6605 | SAIL:STL12001
SAIL,STL2048,SS HEX BOLT M10-60,ONGC,ONG1104,Stainless Steel Bolt M10 by 60,Fastener,0.7424,0.75,0.6383,1,0.6294,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: number vs ea,True,ONGC:ONG1104 | SAIL:STL2048
NTPC,NTP5525,Galvanized Hexagonal Bolt 12mm x 75mm,ONGC,ONG1105,Galvanised Steel Bolt M12 75mm,Fastener,0.715,0.75,0.7463,1,0.632,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different unit: nos vs ea,True,NTPC:NTP5525 | ONGC:ONG1105
ONGC,ONG7701,Three Phase Motor 5 HP 415 V,BHEL,BHL1022,Induction Motor 5 HP 415V,Motor,0.7518,0.75,0.6415,1,0.6346,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs nos,True,BHEL:BHL1022 | ONGC:ONG7701
NTPC,NTP2202,10 HP Three Phase Motor 415 Volt,SAIL,STL8002,3 PH MOTOR 10HP 415V IE3,Motor,0.7944,0.75,0.5,1,0.6347,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: nos vs number,True,NTPC:NTP2202 | SAIL:STL8002
BHEL,BHL1021,GI Pipe 40 NB Medium Class,SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,0.7766,0.6667,0.7556,1,0.635,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; high textual similarity; Different unit: mtr vs metre,True,BHEL:BHL1021 | SAIL:STL7003
ONGC,ONG5502,16 Square MM Aluminium XLPE Cable,BHEL,BHL1017,Aluminium Cable 16 Sqmm,Cable,0.8471,0.6667,0.5357,1,0.6373,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: m vs mtr,True,BHEL:BHL1017 | ONGC:ONG5502
SAIL,STL6001,Copper Wire Cable 2.5mm2,NTPC,NTP9901,2.5 sq mm Copper Electrical Cable,Cable,0.8649,0.6667,0.4912,1,0.6395,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: metre vs meter,True,NTPC:NTP9901 | SAIL:STL6001
ONGC,ONG7702,Three Phase Induction Motor 10 HP,NTPC,NTP2202,10 HP Three Phase Motor 415 Volt,Motor,0.7741,0.75,0.6154,1,0.6418,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs nos,True,NTPC:NTP2202 | ONGC:ONG7702
ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,BHEL,BHL1011,Gate Valve 80 NB Class 150,Valve,0.7853,0.75,0.5818,1,0.6424,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs nos,True,BHEL:BHL1011 | ONGC:ONG3302
SAIL,STL3002,Ball Bearing 6206 Deep Groove,ONGC,ONG2202,Deep Groove Bearing 6206,Bearing,0.8776,0.6667,0.4906,1,0.6457,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; Different unit: number vs ea,True,ONGC:ONG2202 | SAIL:STL3002
ONGC,ONG2203,Conical Roller Bearing 30205,NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,0.8576,0.6667,0.5714,1,0.6478,LOW CONFIDENCE,Insufficient evidence for automatic matching — strong semantic similarity; partially matching attributes; moderate textual similarity; Different unit: ea vs nos,True,NTPC:NTP6603 | ONGC:ONG2203
